Model,DPO3014
Firmware Version,2.23

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
Label,
TIME,CH1
-8.906e-02,-3.2
-8.904e-02,-3.28
-8.902e-02,-3.36
-8.900e-02,-3.52
-8.898e-02,-3.44
-8.896e-02,-3.44
-8.894e-02,-3.36
-8.892e-02,-3.44
-8.890e-02,-3.6
-8.888e-02,-3.52
-8.886e-02,-3.44
-8.884e-02,-3.52
-8.882e-02,-3.6
-8.880e-02,-3.6
-8.878e-02,-3.68
-8.876e-02,-3.68
-8.874e-02,-3.68
-8.872e-02,-3.68
-8.870e-02,-4
-8.868e-02,-3.92
-8.866e-02,-3.84
-8.864e-02,-3.84
-8.862e-02,-3.84
-8.860e-02,-3.84
-8.858e-02,-3.76
-8.856e-02,-3.84
-8.854e-02,-3.68
-8.852e-02,-3.76
-8.850e-02,-3.84
-8.848e-02,-4.08
-8.846e-02,-4
-8.844e-02,-3.84
-8.842e-02,-4
-8.840e-02,-3.92
-8.838e-02,-3.92
-8.836e-02,-3.92
-8.834e-02,-3.76
-8.832e-02,-3.84
-8.830e-02,-4
-8.828e-02,-4.24
-8.826e-02,-4.16
-8.824e-02,-3.84
-8.822e-02,-3.84
-8.820e-02,-4
-8.818e-02,-4.08
-8.816e-02,-3.92
-8.814e-02,-3.84
-8.812e-02,-3.92
-8.810e-02,-4
-8.808e-02,-4
-8.806e-02,-3.92
-8.804e-02,-3.84
-8.802e-02,-4.08
-8.800e-02,-4.08
-8.798e-02,-4.08
-8.796e-02,-4.24
-8.794e-02,-3.84
-8.792e-02,-3.92
-8.790e-02,-3.84
-8.788e-02,-4.24
-8.786e-02,-4.16
-8.784e-02,-3.92
-8.782e-02,-3.92
-8.780e-02,-3.92
-8.778e-02,-3.92
-8.776e-02,-3.92
-8.774e-02,-4.08
-8.772e-02,-3.92
-8.770e-02,-3.76
-8.768e-02,-3.92
-8.766e-02,-4
-8.764e-02,-4.08
-8.762e-02,-3.92
-8.760e-02,-4.16
-8.758e-02,-4
-8.756e-02,-4.08
-8.754e-02,-3.92
-8.752e-02,-3.92
-8.750e-02,-4
-8.748e-02,-4
-8.746e-02,-4.24
-8.744e-02,-3.76
-8.742e-02,-3.84
-8.740e-02,-3.92
-8.738e-02,-3.92
-8.736e-02,-4.16
-8.734e-02,-3.84
-8.732e-02,-3.92
-8.730e-02,-3.84
-8.728e-02,-3.92
-8.726e-02,-3.76
-8.724e-02,-3.92
-8.722e-02,-3.92
-8.720e-02,-3.92
-8.718e-02,-3.92
-8.716e-02,-4
-8.714e-02,-4.08
-8.712e-02,-3.92
-8.710e-02,-3.92
-8.708e-02,-3.76
-8.706e-02,-4.08
-8.704e-02,-4
-8.702e-02,-3.84
-8.700e-02,-4.08
-8.698e-02,-3.84
-8.696e-02,-4
-8.694e-02,-3.84
-8.692e-02,-3.92
-8.690e-02,-3.92
-8.688e-02,-3.92
-8.686e-02,-4.08
-8.684e-02,-3.76
-8.682e-02,-3.92
-8.680e-02,-3.92
-8.678e-02,-3.84
-8.676e-02,-3.92
-8.674e-02,-3.76
-8.672e-02,-4
-8.670e-02,-3.84
-8.668e-02,-3.92
-8.666e-02,-3.84
-8.664e-02,-3.84
-8.662e-02,-4.08
-8.660e-02,-3.84
-8.658e-02,-3.84
-8.656e-02,-3.84
-8.654e-02,-4
-8.652e-02,-3.76
-8.650e-02,-3.92
-8.648e-02,-3.84
-8.646e-02,-3.84
-8.644e-02,-3.84
-8.642e-02,-3.92
-8.640e-02,-4.08
-8.638e-02,-4.16
-8.636e-02,-3.92
-8.634e-02,-3.6
-8.632e-02,-3.68
-8.630e-02,-3.68
-8.628e-02,-4.16
-8.626e-02,-3.92
-8.624e-02,-3.76
-8.622e-02,-3.84
-8.620e-02,-3.84
-8.618e-02,-3.68
-8.616e-02,-3.92
-8.614e-02,-3.6
-8.612e-02,-3.68
-8.610e-02,-3.68
-8.608e-02,-3.68
-8.606e-02,-3.76
-8.604e-02,-3.84
-8.602e-02,-3.84
-8.600e-02,-3.52
-8.598e-02,-3.84
-8.596e-02,-3.6
-8.594e-02,-3.68
-8.592e-02,-3.44
-8.590e-02,-3.68
-8.588e-02,-3.68
-8.586e-02,-3.76
-8.584e-02,-3.76
-8.582e-02,-3.52
-8.580e-02,-3.76
-8.578e-02,-3.76
-8.576e-02,-3.84
-8.574e-02,-3.92
-8.572e-02,-3.84
-8.570e-02,-3.84
-8.568e-02,-3.76
-8.566e-02,-3.84
-8.564e-02,-3.52
-8.562e-02,-3.52
-8.560e-02,-3.44
-8.558e-02,-3.44
-8.556e-02,-3.52
-8.554e-02,-3.52
-8.552e-02,-3.36
-8.550e-02,-3.52
-8.548e-02,-3.28
-8.546e-02,-3.2
-8.544e-02,-3.04
-8.542e-02,-3.04
-8.540e-02,-3.04
-8.538e-02,-3.12
-8.536e-02,-2.88
-8.534e-02,-3.04
-8.532e-02,-3.12
-8.530e-02,-2.8
-8.528e-02,-2.8
-8.526e-02,-2.88
-8.524e-02,-2.64
-8.522e-02,-2.72
-8.520e-02,-2.64
-8.518e-02,-2.64
-8.516e-02,-2.56
-8.514e-02,-2.64
-8.512e-02,-2.72
-8.510e-02,-2.8
-8.508e-02,-2.56
-8.506e-02,-2.64
-8.504e-02,-2.4
-8.502e-02,-2.56
-8.500e-02,-2.48
-8.498e-02,-2.4
-8.496e-02,-2.48
-8.494e-02,-2.16
-8.492e-02,-2.32
-8.490e-02,-2.24
-8.488e-02,-2.16
-8.486e-02,-2.24
-8.484e-02,-2.4
-8.482e-02,-2.24
-8.480e-02,-2
-8.478e-02,-2.16
-8.476e-02,-2.32
-8.474e-02,-2.08
-8.472e-02,-2.08
-8.470e-02,-2.32
-8.468e-02,-2.08
-8.466e-02,-1.76
-8.464e-02,-2
-8.462e-02,-1.92
-8.460e-02,-1.84
-8.458e-02,-1.84
-8.456e-02,-1.76
-8.454e-02,-1.92
-8.452e-02,-1.84
-8.450e-02,-1.92
-8.448e-02,-1.84
-8.446e-02,-1.84
-8.444e-02,-2.08
-8.442e-02,-1.76
-8.440e-02,-1.68
-8.438e-02,-1.44
-8.436e-02,-1.44
-8.434e-02,-1.68
-8.432e-02,-1.6
-8.430e-02,-1.76
-8.428e-02,-1.76
-8.426e-02,-1.28
-8.424e-02,-1.52
-8.422e-02,-1.44
-8.420e-02,-1.52
-8.418e-02,-1.44
-8.416e-02,-1.52
-8.414e-02,-1.28
-8.412e-02,-1.2
-8.410e-02,-1.28
-8.408e-02,-1.28
-8.406e-02,-1.28
-8.404e-02,-1.28
-8.402e-02,-1.28
-8.400e-02,-0.96
-8.398e-02,-1.04
